"HolderAddress","Balance","PendingBalanceUpdate"
"0x6504897cc7d48acff37337586d2eb951b75a0822","690.30344780538","No"
"0x03e454888dc25ac3768f885b64623b0fc8b5aadb","1380.60689561076","No"
"0xf74ca5ee4f709c8feb338cca669572db62f03b5e","131785.020483599","No"
"0x88d79f825259ce2ee2d0dc23b6b2ef02b72b7634","3451.5172390269","No"
"0x3201ccfc4fa7fa9f3fa1655b450f27fa5909e881","27612.1379122152","No"
"0xb1db597499295ceb50ec6646e175947a8a347c7d","57210.1148411732","No"
"0x794d44d2d22b067ea006182384ac82d0c778ba4d","38948.4193986754","No"
"0xe4b3eb17e28de3524dc90d390516e3362b180635","13115.7655083022","No"
"0xc681d7bb73ff4238b124fd84b92c5d1721df2e70","6903.0344780538","No"
"0xab1ab0468757e91845118fa01868ed7555182be1","847792.591494107","No"
"0x70b20209c83ec8d01e3c7f2ec77bde7c40cdf2f6","242.285278053797","No"
"0xff3ed9c9bcfb0d58017f4b9772f4664ce986ce4a","11305.26671851","No"
"0xa3ba088bb6f67cbf3ded031d787d0d6350e81379","19673.6482624533","No"
"0x7d507d1aa4ae7936345120454246645e9d94cd9c","1287.7331245913","No"
"0x0960b8f0297eb48363b67975c3a87fdc5f5844a6","13806.0689561076","No"
"0x6da7b7f64c73ff7985f2bf55c71c2b46c9e41a5a","2761.21379122152","No"
"0xf5559cb9f00ea0376003050cc823d1eaf1621a34","6780.82315565433","No"
"0x25bd1def4349631ede17e7df702b985148a99cd6","6454.77903118689","No"
"0x54977fbcbf58662c00e1c1faf74cfd4ed3ec3cbe","1015742.02627795","No"
"0x067ffbd92939d519cb938fb3546650804e63d60c","20709.1034341614","No"
"0x008f681f3273b29874bd5ea35b185841f38ecfbd","662.691309893164","No"
"0x2b41fcdd4ad4132934d4760f8170e026bf3f75cd","690.30344780538","No"
"0xe7e28edae5fe68c2007dd790e09e116c22c91579","4870.4743261824","No"
"0x9d9fd91d5b97de53b06138a3d5f78bdca2273125","103545.517170807","No"
"0x326619fd3fb4ea3a62589d27d1b9ebdaf89ceb5f","2070.91034341614","No"
"0xa9b76383e8174efc4f78219a18574b8d41bdb0b1","5587.45451592832","No"
"0x9ffcf103773dd8961cf7b7f22753c8c567e4dbea","87131.6351896568","No"
"0xb15a4f1321cd7d928e0c2f98ff314841381784a9","22982.1335980326","No"
"0x03d835696c36443f32d98f059168d086e00e6270","13806.0689561076","No"
"0x0e05463d4b97070479d84d85bc1d11dd83328332","24606.1158182817","No"
"0x7abcc45b4067531e474ccc04f61eda658403fe98","10779.4718393965","No"
"0x4f41952a33ab2453931ee98e5d9b3be6090b5f0b","56451.4520715086","No"
"0x15a22b2167019514c8d1ba0d90bf4ecbb7786a35","2761.21379122152","No"
"0xf4bf22f9c54a89d86ec4834c388e13ee3d39c805","13806.0689561076","No"
"0x8106ab970cb1ee90007ea823e3c8b95878d1dbd6","110129.631455975","No"
"0x2115c5a0aa915f003eb42a0cb9aab29cb97c4921","50.2814049425908","No"
"0x1c7223d6578e4130784857ce68fd5e337fb3c344","1810.12904091188","No"
"0x7047880ca0950cea0809423afe6efdee52ca0e5d","6439.76879694523","No"
"0x0e4fccc751140a70d2f1385684663653c2751c0c","379.666896292959","No"
"0x856f758a3eed1d8f99ec01997eeb2c4f33abee5d","12425.4620604968","No"
"0xe65b1defde713054c9fa54cc78b86e3fa92afe1e","6903.0344780538","No"
"0x194d26f101479d3e04f2085a561f07820acf76c1","613.603064715893","No"
"0x85a816de1b56b8ccf7804a93abaea92014327850","73632.3677659072","No"
"0xed61b7283db5f241e70c6a1de8f5dc627670aced","2945.29471063629","No"
"0x2077dfb20b0710be78b7f83ff66dbdff5784fc57","10253.7979873996","No"
"0x8e3685b9117f86a850706f4f69bc4af51a85fb82","6013.31003421575","No"
"0xae7053a1120027bf4c501ed5e3aa0650d0c341bf","10453.472048545","No"
"0x81edfbcc12abb98a3660608dd1b65105ef2f00e5","16567.2827473292","No"
"0x7655b2de87f3f240c8471fcfe2eda16c0876a522","1069787.06096173","No"
